,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Date
162,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Utility room flooring,Amazon Customer,5.0,United Kingdom,nan,Verified Purchase,"We are using this flooring in our garage which we use as a utility room for washing machine and freezer and general access when walking the dogs etc. It took just a couple of hours to lay the tiles directly on the concrete garage floor, with are very pleasing end result. It has good appearance, the surface is easy to clean, is durable (not suitable to drive a car on) and perfect for walking on by us and our dogs.",2020-01-28
163,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Can't complain,Daniel Loftus,5.0,United Kingdom,Size Name: 6 TILES (24 Square Feet)Colour Name: Black,Verified Purchase,"Very good, only needed 3 but ordered 6 incase any were to break.. Needed to use the edges from the extra 3 to make sure all edges were rounded off otherwise you're left with jigsaw edges",2020-01-05
188,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,"Fantastic product!!! durable, aesthetically pleasing - comfy",Lucinda W-L,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,"I had previously bought mats like these from another company on amazon.I had to buy these to replace them. the comparison is indescribable. These mats are fantastic, I have a home gym, a children's play area and even an area outside on the patio for the dog to play on. if you are looking for this product I would recommend this seller wholeheartedly this product is, I would say the best on the market and excellent value for money",2020-02-24
197,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,"Good value, attractive floor for our home gym.",Beth Etherington,4.0,United Kingdom,Size Name: 20 TILES (80 Square Feet)Colour Name: Grey,Verified Purchase,A little thinner than I thought they would be but standing up well against a busy home gym after several weeks. Very simple to put together and looks great. Good value for money.,2020-01-29
207,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,"Excellent quality, great value.",sarah,5.0,United Kingdom,nan,Verified Purchase,"These are great. They are warm, comfortable to walk on and great quality. Fit together really well.",2019-12-14
210,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,5 *,Sophie,5.0,United Kingdom,Size Name: 6 TILES (24 Square Feet)Colour Name: Black,Verified Purchase,Perfect for what I needed them for! Got them for my rabbits so they won't chew on my carpet and it's just perfect,2020-01-05
224,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good but expensive.,Paul,4.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,Seems a good product. Easy to install. Smell-less and looks cool. Can’t help thinking it’s somewhat over-priced for what it is though.,2020-03-28
226,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Ideal for garage floors / home gym setup,RGC,4.0,United Kingdom,Size Name: 24 TILES (96 Square Feet)Colour Name: Black,Verified Purchase,Used this for gym flooring. It is a little thin. But very easy to assemble and setup.,2019-12-15
230,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Perfect for our basement chill out room,s young,5.0,United Kingdom,Size Name: 48 TILES (192 Square Feet)Colour Name: Grey,Verified Purchase,Great product lovely feel underfoot good insulation qualities on our stone floor. Easy to install and cut and wasn't effected by floor imperfections.,2020-03-05
235,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Unbelievbably good and so easy to put down! Highly Recommend!!!,Tiggy,5.0,United Kingdom,nan,Verified Purchase,I am SO impressed! Totally transformed our garage and i put them all down by myself. Cut the edges with a sharp kitchen knife to fit around pipes etc and worked like a dream.,2020-03-11
257,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,perfect,B. Young,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,These are brilliant easy to put  down stay in place great to walk on and perfect to stand my gym onwell done,2020-02-07
260,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Perfect,Paul Donnelly,5.0,United Kingdom,Size Name: 20 TILES (80 Square Feet)Colour Name: Grey,Verified Purchase,Perfect for home gym,2020-01-14
273,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Good product,Abdul O.,5.0,United Kingdom,Size Name: 4 TILES (16 Square Feet)Colour Name: Black,Verified Purchase,Good product did the job it was meant to do,2019-12-19
284,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Missing,Mark,1.0,United Kingdom,nan,Verified Purchase,I ordered a 4 piece but only receives a 2 piece even know you don't do a 2 piece and one of them has half the design missing,2020-03-11
290,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Very good value and easy to install,Richard,4.0,United Kingdom,Size Name: 48 TILES (192 Square Feet)Colour Name: Grey,Verified Purchase,The floor has now been down for a few days and looks great. It has needed quite a bit of tweaking over the time it has been down as it seems to have expanded. This is probably due to temperature. We have needed to trim it a few times to stop it lifting up in places but are confident that it will settle and be fine in the long term. Would buy again.,2020-03-28
293,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great quality and nice and warm for the kids to play on,Kindle Customer,5.0,United Kingdom,Size Name: 20 TILES (80 Square Feet)Colour Name: Blue,Verified Purchase,Very pleased. Put this down in our living room on top of the wooden floor for the baby. It took about 10 minutes to do and looks great.,2020-02-01
300,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great mats,Amazon Customer,5.0,United Kingdom,Size Name: 12 TILES (48 Square Feet)Colour Name: Black,Verified Purchase,great Mats very comfy in my garage,2019-12-29
301,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Great value,Ian Martin,5.0,United Kingdom,Size Name: 16 TILES (64 Square Feet)Colour Name: Navy,Verified Purchase,Great value for money perfect for under my bike in the pain cave and for around the wifes punch bag in the garage.,2019-12-12
316,"ComFy Mat Foam Exercise Mats, Gym Flooring Mat, Interlocking Puzzle EVA Floor Tiles, Non slip Rubber Cushion For Home Workout, Yoga matting, Bonus Adhesives,24""X24""(60cmX60cm)",4.4,5698,19.95,Fab floor tiles.,J. Neild,4.0,United Kingdom,Size Name: 8 TILES (32 Square Feet)Colour Name: Grey,Verified Purchase,"Excellent product. We have used these in our bathroom. Non slip, warm and comfortable underfoot and looks good. Very happy.",2020-03-18
